2010_avg_ridership,2011_avg_ridership,2013_avg_ridership,2014_avg_ridership,borough,change_from_2013,closed_2014,prc_change_from_2013,station_trains
5413,5787,5999,6277,Brooklyn,278,,4.63,"Gates Av (J,Z)"
5691,5960,6039,6277,Manhattan,238,,3.94,Canal St (1)
5378,5608,5805,6174,Brooklyn,369,,6.36,Halsey St (J)
5897,6052,6201,6089,Bronx,112,,-1.81,Bedford Park Blvd-Lehman College (4)
5406,5596,5971,6083,Brooklyn,112,,1.88,"Clark St (2,3)"
6742,6860,6036,6060,Brooklyn,24,,0.4,Avenue J (Q)
5715,5848,5974,6051,Brooklyn,77,,1.29,Bay Ridge-95 St (R)
5776,5794,6002,6038,Bronx,36,,0.6,Gun Hill Rd (5)
5955,5533,5857,6004,Brooklyn,147,,2.51,9 Av (D)
7870,6576,6321,5998,Manhattan,323,,-5.11,Roosevelt Island (F)
4897,5152,5678,5968,Brooklyn,290,,5.11,Kingston-Throop Avs (C)
6006,6230,5934,5943,Brooklyn,9,,0.15,Prospect Av (R)
5529,5662,5807,5933,Brooklyn,126,,2.17,Saratoga Av (3)
4517,5383,5905,5914,Bronx,9,,0.15,176 St (4)
4628,4632,5836,5903,Brooklyn,67,Yes,1.15,Avenue M (Q)
5848,5748,5995,5891,Bronx,104,,-1.73,Mt Eden Av (4)
5804,5998,5825,5867,Manhattan,42,,0.72,Franklin St (1)
5597,5755,5915,5783,Brooklyn,132,,-2.23,"Sterling St (2,5)"
5570,4758,5456,5766,Manhattan,310,Yes,5.68,Marble Hill-225 St (1)
5282,5193,5526,5737,Bronx,211,,3.82,"Allerton Av (2,5)"
5729,5715,5632,5735,Brooklyn,103,,1.83,Rockaway Av (3)
6578,6812,5318,5727,Brooklyn,409,Yes,7.69,Cortelyou Rd (Q)
5800,5798,5675,5718,Brooklyn,43,,0.76,Pennsylvania Av (3)
5179,5379,5473,5701,Bronx,228,,4.17,"233 St (2,5)"
5001,5431,5333,5677,Queens,344,,6.45,Fresh Pond Rd (M)
4967,4268,5531,5650,Brooklyn,119,Yes,2.15,"Fort Hamilton Pkwy (F,G)"
5249,5110,5432,5631,Bronx,199,,3.66,"Jackson Av (2,5)"
4878,5145,5592,5620,Manhattan,28,,0.5,"135 St (B,C)"
4840,5007,5381,5570,Brooklyn,189,,3.51,Ralph Av (C)
5146,5228,5353,5548,Brooklyn,195,,3.64,77 St (R)
5049,5469,5092,5491,Brooklyn,399,,7.84,18 Av (N)
3361,4745,5497,5393,Manhattan,104,Yes,-1.89,Cortlandt St (R)
5017,5065,5154,5344,Brooklyn,190,,3.69,Kings Hwy (N)
4139,4412,4916,5330,Brooklyn,414,,8.42,Myrtle-Willoughby Avs (G)
4537,4660,4885,5301,Bronx,416,,8.52,"174-175 Sts (B,D)"
5155,5340,5159,5270,Brooklyn,111,,2.15,New Utrecht Av (N)/62 St (D)
4815,4971,5137,5223,Brooklyn,86,,1.67,Rockaway Av (C)
4942,5190,5294,5178,Brooklyn,116,,-2.19,Clinton-Washington Avs (G)
4582,4955,4825,5168,Bronx,343,,7.11,Wakefield-241 St (2)
5031,4984,5085,5128,Queens,43,,0.85,69 St (7)
4588,4882,4992,5121,Queens,129,,2.58,Jamaica-Van Wyck (E)
4717,4825,4949,5017,Brooklyn,68,,1.37,Kingston Av (3)
3961,4255,4785,5005,Brooklyn,220,,4.6,New Lots Av (L)
6407,6691,4240,4969,Brooklyn,729,Yes,17.19,Parkside Av (Q)
4333,4603,4948,4948,Bronx,0,,0.0,Eastchester-Dyre Av (5)
7617,7540,5632,4938,Bronx,694,Yes,-12.32,Castle Hill Av (6)
4517,4478,4859,4930,Brooklyn,71,,1.46,20 Av (D)
4551,4667,4683,4925,Brooklyn,242,,5.17,"Crescent St (J,Z)"
4813,4835,4938,4889,Brooklyn,49,,-0.99,"Eastern Pkwy-Brooklyn Museum (2,3)"
4296,4382,4762,4867,Bronx,105,,2.2,"Freeman St (2,5)"
4627,4665,4825,4857,Brooklyn,32,,0.66,Lafayette Av (C)
4364,4564,4796,4836,Brooklyn,40,,0.83,"Lorimer St (J,M)"
4782,4562,4760,4832,Manhattan,72,,1.51,"103 St (B,C)"
4550,4546,4554,4813,Bronx,259,,5.69,"182-183 Sts (B,D)"
4260,4433,4576,4796,Queens,220,,4.81,"Woodhaven Blvd (J,Z)"
4605,4693,4932,4795,Queens,137,,-2.78,Sutphin Blvd (F)
4763,1834,2854,4762,Brooklyn,1908,Yes,66.85,"Smith-9 Sts (F,G)"
4315,4528,4751,4761,Brooklyn,10,,0.21,Kosciuszko St (J)
4318,4220,4607,4761,Brooklyn,154,,3.34,25 Av (D)
4662,4750,2651,4748,Queens,2097,Yes,79.1,Far Rockaway-Mott Av (A)
5688,5655,4664,4695,Queens,31,,0.66,"Briarwood-Van Wyck Blvd (E,F)"
4365,3740,4538,4682,Brooklyn,144,Yes,3.17,71 St (D)
4050,4201,4555,4675,Brooklyn,120,,2.63,Sutter Av (L)
4101,4181,4291,4664,Queens,373,,8.69,80 St (A)
4471,4554,4676,4622,Brooklyn,54,,-1.15,Ditmas Av (F)
4226,4336,4580,4619,Bronx,39,,0.85,East 149 St (6)
3935,4170,4490,4601,Brooklyn,111,,2.47,Classon Av (G)
4003,4340,4540,4597,Queens,57,,1.26,"36 St (M,R)"
4104,4346,4479,4593,Bronx,114,,2.55,"225 St (2,5)"
4648,4472,4675,4555,Queens,120,,-2.57,Mets-Willets Point (7)
3988,4425,4546,4549,Manhattan,3,,0.07,190 St (A)
3523,3699,4266,4502,Brooklyn,236,,5.53,Fulton St (G)
3972,4146,4375,4447,Brooklyn,72,,1.65,"Beverly Rd (2,5)"
9840,8954,5666,4344,Manhattan,1322,Yes,-23.33,City Hall (R)
3815,3983,4092,4318,Queens,226,,5.52,Middle Village-Metropolitan Av (M)
3903,4011,4190,4277,Brooklyn,87,,2.08,20 Av (N)
3663,3772,4080,4271,Manhattan,191,,4.68,163 St-Amsterdam Av (C)
3980,4069,4151,4268,Brooklyn,117,,2.82,Nostrand Av (3)
3400,3532,3865,4248,Brooklyn,383,,9.91,Wilson Av (L)
3772,3640,3984,4248,Brooklyn,264,,6.63,Fort Hamilton Pkwy (D)
3608,3901,4103,4210,Queens,107,,2.61,Forest Av (M)
3706,3840,4177,4196,Bronx,19,,0.45,Baychester Av (5)
8588,8083,5362,4127,Manhattan,1235,Yes,-23.03,Rector St (R)
5093,1427,3995,4099,Bronx,104,Yes,2.6,St Lawrence Av (6)
3731,3754,3969,4092,Brooklyn,123,,3.1,"President St (2,5)"
4145,4205,4204,4050,Brooklyn,154,,-3.66,18 Av (F)
2606,4114,3941,4033,Brooklyn,92,Yes,2.33,Neck Rd (Q)
3823,3845,3948,4022,Manhattan,74,,1.87,"155 St (B,D)"
3739,3701,3842,3984,Bronx,142,,3.7,Cypress Av (6)
3812,3915,3821,3959,Brooklyn,138,,3.61,25 St (R)
3277,3553,3790,3952,Manhattan,162,,4.27,Harlem-148 St (3)
3514,3019,3598,3934,Bronx,336,Yes,9.34,238 St (1)
4127,4344,4070,3923,Brooklyn,147,,-3.61,"Bergen St (2,3)"
3525,3684,3818,3911,Brooklyn,93,,2.44,East 105 St (L)
3643,3704,3792,3860,Queens,68,,1.79,85 St-Forest Pkwy (J)
3872,3804,3738,3857,Brooklyn,119,,3.18,Avenue U (N)
3307,3420,3878,3850,Bronx,28,,-0.72,"Nereid Av (2,5)"
3325,3575,3429,3806,Brooklyn,377,Yes,10.99,Knickerbocker Av (M)
3686,3714,3759,3777,Queens,18,,0.48,"75 St-Elderts Ln (J,Z)"
3692,3811,3763,3742,Queens,21,,-0.56,"75 Av (E,F)"
3392,3387,3612,3672,Bronx,60,,1.66,"Burke Av (2,5)"
3313,3448,3532,3647,Queens,115,,3.26,"65 St (M,R)"
2873,3136,3426,3631,Manhattan,205,,5.98,145 St (3)
3478,3605,3655,3616,Brooklyn,39,,-1.07,Kings Hwy (F)
3381,3366,3492,3603,Brooklyn,111,,3.18,"Norwood Av (J,Z)"
2951,2974,3420,3571,Bronx,151,,4.42,"Intervale Av (2,5)"
3261,3337,3483,3544,Bronx,61,,1.75,"219 St (2,5)"
